Column1,id,symbol,title,body,cluster,distance,sentiment
0,f46f1299d9c94970dc443064ddf1178c9a63d63b,MSFT,Salem Investment Counselors Continues to Hold Holding in United Technologies Corp. (UTX); Odey Asset Management Group LTD Position in Och Ziff Cap Mgmt Group (OZM) Cut by $5.65 Million | K Reviewer,Salem Investment Counselors Continues to Hold Holding in United Technologies Corp. (UTX); Odey Asset Management Group LTD Position in Och Ziff Cap Mgmt Group (OZM) Cut by $5.65 Million September 14 2018 - By Glen Chin Salem Investment Counselors Inc increased its stake in United Technologies Corp. (UTX) by 3.98% based on its latest 2018Q2 regulatory filing with the SEC. Salem Investment Counselors Inc bought 5554 shares as the companyӳ stock rose 5.48% with the market. The institutional investor held 145056,"corporation, technologies, progress, 1q, pacific, lockheed, partners, games, martin, lockheed",0.581380382,
1,77de506eb5ab56ed4fde0659c365908e6fd1afe7,MSFT,Chieftain Capital Management Continues to Hold Stake in Discovery (DISCK); Haverford Financial Services Has Boosted Position in Comcast New Com Cl A (CMCSA) by $657952 | K Reviewer,Chieftain Capital Management Continues to Hold Stake in Discovery (DISCK); Haverford Financial Services Has Boosted Position in Comcast New Com Cl A (CMCSA) by $657952 September 14 2018 - By Estela Ashley Haverford Financial Services Inc increased its stake in Comcast Corp New Com Cl A (CMCSA) by 6% based on its latest 2018Q2 regulatory filing with the SEC. Haverford Financial Services Inc bought 20561 shares as the companyӳ stock rose 11.66% with the market. The institutional investor held 363282 shares of,"comcast, cmcsa, nasdaq, corporation, ֠comcast, msci, fox, sky, lockheed, visa",0.828548937,
2,a5be36dcf4e812277b8fbaf86f50e96a59de0972,MSFT,Stewart & Patten Co Has Lifted Its Hanesbrands (HBI) Position by $1.10 Million as Market Valuation Declined; Nationstar Mtg Hldgs (NSM) Share Price Were Volatile While Gruss Capital Management LP Has Increased by $5.10 Million Its Holding | K Reviewer,Stewart & Patten Co Has Lifted Its Hanesbrands (HBI) Position by $1.10 Million as Market Valuation Declined; Nationstar Mtg Hldgs (NSM) Share Price Were Volatile While Gruss Capital Management LP Has Increased by $5.10 Million Its Holding September 14 2018 - By Ricky Cave Gruss Capital Management Lp increased its stake in Nationstar Mtg Hldgs Inc (NSM) by 33.33% based on its latest 2018Q2 regulatory filing with the SEC. Gruss Capital Management Lp bought 300000 shares as the companyӳ stock 0.00% . The hedge,"inc., hold, capital, management, hold, met, lp, capital, suntrust, aetna",0.576886617,
3,6ec8c2644583d1265430c84737dd749678ab0217,MSFT,Microsoft Co. (MSFT) Shares Bought by Cypress Capital Group - Fairfield Current,Microsoft Co. (MSFT) Shares Bought by Cypress Capital Group Posted by Lisa Matthews on Sep 14th 2018 Tweet Cypress Capital Group boosted its stake in shares of Microsoft Co. (NASDAQ:MSFT) by 10.0% in the 1st quarter according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The fund owned 82957 shares of the software giantӳ stock after purchasing an additional 7537 shares during the quarter. Microsoft accounts for approximately 1.6% of Cypress Capital Groupӳ ho,"microsoft, shares, software, software, shares, shares, giantӳ, giantӳ, microsoft, software",2.786745353,
4,20ace35beba36eecb6f73afcc83eb2fae080887d,MSFT,Financial Partners Capital Management LLC Sells 2901 Shares of Microsoft Co. (MSFT) - Fairfield Current,Financial Partners Capital Management LLC Sells 2901 Shares of Microsoft Co. (MSFT) Posted by Lisa Matthews on Sep 14th 2018 Tweet Financial Partners Capital Management LLC decreased its stake in shares of Microsoft Co. (NASDAQ:MSFT) by 2.3% in the first quarter according to its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 123408 shares of the software giantӳ stock after selling 2901 shares during the quarter. Microsoft comprises about 3.4% of Financial Partners Ca,"microsoft, shares, software, software, shares, shares, giantӳ, giantӳ, microsoft, software",0.91579437,
5,c92a4c2e9ff7602e441dece6c927c6304fd6a675,FB,Acuity Brands (AYI) Shareholder Pictet Asset Management LTD Decreased Its Position as Stock Value Rose; Veritas Asset Management Llp Maintains Holding in Facebook (FB) | The Flecha 123,Acuity Brands (AYI) Shareholder Pictet Asset Management LTD Decreased Its Position as Stock Value Rose; Veritas Asset Management Llp Maintains Holding in Facebook (FB) September 14 2018 - By Heather Owens Pictet Asset Management Ltd decreased its stake in Acuity Brands Inc (AYI) by 65.61% based on its latest 2018Q2 regulatory filing with the SEC. Pictet Asset Management Ltd sold 41027 shares as the companyӳ stock rose 25.48% with the market. The institutional investor held 21507 shares of the building produ,"facebook, fb, inc., facebook, facebook, nasdaq, investment, investment, fb, ֠facebook",0.132069574,
6,6095d1bcf1b465c4282374f1c286798d9119b50a,FB,Prudential Finl (PRU) Shareholder Verity & Verity Increased Stake by $1.14 Million; As Unitedhealth Group (UNH) Stock Rose Veritas Asset Management Llp Lowered Its Holding by $38.64 Million | The EN Digest,Prudential Finl (PRU) Shareholder Verity & Verity Increased Stake by $1.14 Million; As Unitedhealth Group (UNH) Stock Rose Veritas Asset Management Llp Lowered Its Holding by $38.64 Million September 14 2018 - By Theresa McIntyre Verity & Verity Llc increased its stake in Prudential Finl Inc (PRU) by 439.72% based on its latest 2018Q2 regulatory filing with the SEC. Verity & Verity Llc bought 12299 shares as the companyӳ stock declined 2.54% while stock markets rallied. The institutional investor held 15096,"unitedhealth, unitedhealth, unh, nyse, incorporated, group, incorporated, unh, tjx, nyse",0.893491141,
7,92863ae44c5fde47c78f99cb3a3cf3cc6621ff04,FB,First Long Island Investors Decreased Its Fastenal Co (FAST) Stake; Shorts at Bgc Partners ֠Class A (BGCP) Raised By 45.06% | The EN Digest,First Long Island Investors Decreased Its Fastenal Co (FAST) Stake; Shorts at Bgc Partners ֠Class A (BGCP) Raised By 45.06% September 14 2018 - By Rachel Eickhoff First Long Island Investors Llc decreased Fastenal Co (FAST) stake by 10.38% reported in 2018Q2 SEC filing. First Long Island Investors Llc sold 35696 shares as Fastenal Co (FAST)ӳ stock rose 10.83%. The First Long Island Investors Llc holds 308324 shares with $14.84 million value down from 344020 last quarter. Fastenal Co now has $17.00 billion v,"resource, inc., ar, short, corporation, management, corp., fast, lam, lam",1.637642391,
8,4b7e47895a788aa010d519d99ba3937733711248,FB,7 Great Vanguard Funds to Buy | InvestorPlace,Home > Mutual Funds & ETFs > ETF Investing > 7 Great Vanguard Funds to Buy Sep 14 2018 10:40 am EDT September 14 2018 7 Great Vanguard Funds to Buy These Vanguard funds are cost-effective and could be funds to buy over the near-term http://bit.ly/2OlILXY Source: Shutterstock Vanguard funds be they index funds or exchange-traded funds are wildly popular with financial advisers and investors. One of the primary reasons Vanguard funds have such receptive audiences is their low fees. Including ETFs index funds ,"corporation, technologies, progress, 1q, pacific, lockheed, partners, games, martin, lockheed",2.294604135,
9,204e38fcbeb1ded1d961febed0b9f12a44127ee3,FB,Perigon Wealth Management Has Lifted Its Facebook Class A (FB) Stake; CANNABIX TECHNOLOGIES ORDINARY SHAR (BLOZF) Shorts Up By 313.1% | Z Tribune,Perigon Wealth Management Has Lifted Its Facebook Class A (FB) Stake; CANNABIX TECHNOLOGIES ORDINARY SHAR (BLOZF) Shorts Up By 313.1% September 14 2018 - By Jimmy Cauthen Perigon Wealth Management Llc increased Facebook Inc Class A (FB) stake by 33.58% reported in 2018Q2 SEC filing. Perigon Wealth Management Llc acquired 5020 shares as Facebook Inc Class A (FB)ӳ stock declined 15.80%. The Perigon Wealth Management Llc holds 19969 shares with $3.88 million value up from 14949 last quarter. Facebook Inc Class,"facebook, fb, facebook, facebook, inc., nasdaq, fb, ֠facebook, facebook, worth",0.306350881,
